"PID","POS","X","Y","label"
1,1,-60.25,45.7,"4VN"
1,2,-60,45.66666,"4VN"
1,3,-57.40641,45.66666,"4VN"
1,4,-58.77425,46.8202,"4VN"
1,5,-59.58892,47.49573,"4VN"
1,6,-60,47.83333,"4VN"
1,7,-60.40917,47.03583,"4VN"
1,8,-60.8,46.7,"4VN"
1,9,-61.11908,46.125,"4VN"
1,10,-61.40417,45.64166,"4VN"
1,11,-60.25,45.7,"4VN"
1,12,-60.25,45.7,"4VN"
2,1,-60,44.16666,"4VS"
2,2,-59,44.16666,"4VS"
2,3,-59,39,"4VS"
2,4,-50,39,"4VS"
2,5,-51,39.94134,"4VS"
2,6,-54.5,43.13502,"4VS"
2,7,-57.40641,45.66666,"4VS"
2,8,-60,45.66666,"4VS"
2,9,-60,44.16666,"4VS"
7,1,-60.25,45.7,"4W"
7,2,-60,45.66666,"4W"
7,3,-60,44.16666,"4W"
7,4,-59,44.16666,"4W"
7,5,-59,39,"4W"
7,6,-63.33333,39,"4W"
7,7,-63.33333,44.33333,"4W"
7,8,-63.5,44.5,"4W"
7,9,-63.8969,44.78118,"4W"
7,10,-63.16667,45.63611,"4W"
7,11,-62.46881,45.30934,"4W"
7,12,-61.40417,45.64166,"4W"
7,13,-60.25,45.7,"4W"
18,1,-66.903126,44.776485,"4X"
18,2,-66.903126,43.833333,"4X"
18,3,-67.407567,43.833333,"4X"
18,4,-67.743056,42.887222,"4X"
18,5,-67.468056,42.518889,"4X"
18,6,-67.303653,42.333333,"4X"
18,7,-66,42.33333,"4X"
18,8,-65.66667,42,"4X"
18,9,-65.66667,39,"4X"
18,10,-63.33333,39,"4X"
18,11,-63.33333,44.33333,"4X"
18,12,-63.5,44.5,"4X"
18,13,-63.8969,44.78118,"4X"
18,14,-63,45,"4X"
18,15,-63.16667,45.63611,"4X"
18,16,-64.32911,46.01785,"4X"
18,17,-68.41711,45.37946,"4X"
18,18,-66.903126,44.776485,"4X"