PID,POS,X,Y,label
1,1,-80,66.25,0A     
1,2,-80,78.166667,0A     
1,3,-73.5,78.166667,0A     
1,4,-73.5,75.083336,0A     
1,5,-73.271667,75,0A     
1,6,-73.046669,74.84333,0A     
1,7,-72.883331,74.736664,0A     
1,8,-71.763336,74.476669,0A     
1,9,-71.428337,74.400002,0A     
1,10,-70.561668,74.208336,0A     
1,11,-70.385002,74.166664,0A     
1,12,-70.208336,74.125,0A     
1,13,-70.110001,74.101669,0A     
1,14,-69.866669,74.043335,0A     
1,15,-69.838333,74.036667,0A     
1,16,-69.525002,73.959999,0A     
1,17,-69.188332,73.871666,0A     
1,18,-68.851669,73.778336,0A     
1,19,-68.808334,73.768333,0A     
1,20,-68.489998,73.695,0A     
1,21,-68.205002,73.631668,0A     
1,22,-68.091667,73.60833,0A     
1,23,-67.251663,73.518333,0A     
1,24,-66.421669,73.431664,0A     
1,25,-66.138336,73.308334,0A     
1,26,-65.126663,72.846664,0A     
1,27,-65.014999,72.794998,0A     
1,28,-64.973335,72.761665,0A     
1,29,-64.904999,72.728333,0A     
1,30,-64.646667,72.605003,0A     
1,31,-64.434998,72.508331,0A     
1,32,-64.220001,72.41333,0A     
1,33,-63.683334,72.183334,0A     
1,34,-63.514999,72.106667,0A     
1,35,-63.351665,72.028336,0A     
1,36,-63.064999,71.881668,0A     
1,37,-62.884998,71.78833,0A     
1,38,-62.826668,71.745003,0A     
1,39,-62.558334,71.548332,0A     
1,40,-62.533333,71.529999,0A     
1,41,-62.488335,71.489998,0A     
1,42,-62.424999,71.431664,0A     
1,43,-62.291668,71.315002,0A     
1,44,-62.151669,71.201668,0A     
1,45,-61.711666,70.863335,0A     
1,46,-61.631668,70.803337,0A     
1,47,-61.343334,70.59333,0A     
1,48,-61.290001,70.551666,0A     
1,49,-61.176666,70.223335,0A     
1,50,-61.146667,70.146667,0A     
1,51,-61.134998,70.125,0A     
1,52,-61.07,70.026665,0A     
1,53,-61,69.93,0A     
1,54,-61,69.93,0A     
1,55,-60.993332,69.921669,0A     
1,56,-60.970001,69.830002,0A     
1,57,-60.860001,69.489998,0A     
1,58,-60.458332,69.213333,0A     
1,59,-60.396667,69.171669,0A     
1,60,-60.308334,69.113335,0A     
1,61,-60.150002,69.013336,0A     
1,62,-60.040001,68.946663,0A     
1,63,-59.243332,68.633331,0A     
1,64,-59.238335,68.631668,0A     
1,65,-59.076668,68.566666,0A     
1,66,-59.029999,68.548332,0A     
1,67,-58.706665,68.421669,0A     
1,68,-58.650002,68.361664,0A     
1,69,-58.568333,68.268333,0A     
1,70,-58.453335,68.125,0A     
1,71,-58.445,68.113335,0A     
1,72,-58.416668,68.071663,0A     
1,73,-58.388332,68.029999,0A     
1,74,-58.330002,67.948334,0A     
1,75,-58.165001,67.736664,0A     
1,76,-58.103333,67.661667,0A     
1,77,-58.036667,67.588333,0A     
1,78,-57.963333,67.511665,0A     
1,79,-57.935001,67.485001,0A     
1,80,-57.921665,67.471664,0A     
1,81,-57.915001,67.455002,0A     
1,82,-57.878334,67.360001,0A     
1,83,-57.716667,66.824997,0A     
1,84,-57.676666,66.696663,0A     
1,85,-57.66,66.631668,0A     
1,86,-57.653332,66.601669,0A     
1,87,-57.638332,66.504997,0A     
1,88,-57.630001,66.410004,0A     
1,89,-57.630001,66.313332,0A     
1,90,-57.634167,66.25,0A     
1,91,-80,66.25,0A     
2,1,-66.333333,61.916667,0B     
2,2,-80,66.25,0B     
2,3,-57.634167,66.25,0B     
2,4,-57.636665,66.214996,0B     
2,5,-57.66,66.058334,0B     
2,6,-57.668335,65.959999,0B     
2,7,-57.676666,65.861664,0B     
2,8,-57.678333,65.848335,0B     
2,9,-57.698334,65.628334,0B     
2,10,-57.705002,65.580002,0B     
2,11,-57.748333,65.388336,0B     
2,12,-57.763332,65.301666,0B     
2,13,-57.740002,65.193336,0B     
2,14,-57.731667,65.148331,0B     
2,15,-57.735001,65.099998,0B     
2,16,-57.803333,64.203331,0B     
2,17,-57.803333,64.203331,0B     
2,18,-57.818333,64.071663,0B     
2,19,-57.891666,63.956665,0B     
2,20,-57.943333,63.876667,0B     
2,21,-57.953335,63.834999,0B     
2,22,-57.98,63.735001,0B     
2,23,-58.02,63.619999,0B     
2,24,-58.033333,63.583332,0B     
2,25,-57.994999,63.476665,0B     
2,26,-57.956665,63.380001,0B     
2,27,-57.683334,62.786667,0B     
2,28,-57.423332,62.191666,0B     
2,29,-57.369999,62.058334,0B     
2,30,-57.363335,62.038334,0B     
2,31,-57.351665,62.008335,0B     
2,32,-57.216667,61,0B     
2,33,-57.216667,60.2,0B     
2,34,-59,61,0B     
2,35,-65,61,0B     
2,36,-66.33333,61.916667,0B     
3,1,-44,78.166667,1A     
3,2,-72.5,78.166667,1A     
3,3,-73.5,75.083336,1A     
3,4,-73.271667,75,1A     
3,5,-73.046669,74.84333,1A     
3,6,-72.883331,74.736664,1A     
3,7,-71.763336,74.476669,1A     
3,8,-71.428337,74.400002,1A     
3,9,-70.561668,74.208336,1A     
3,10,-70.385002,74.166664,1A     
3,11,-70.208336,74.125,1A     
3,12,-70.110001,74.101669,1A     
3,13,-69.866669,74.043335,1A     
3,14,-69.838333,74.036667,1A     
3,15,-69.525002,73.959999,1A     
3,16,-69.188332,73.871666,1A     
3,17,-68.851669,73.778336,1A     
3,18,-68.808334,73.768333,1A     
3,19,-68.489998,73.695,1A     
3,20,-68.205002,73.631668,1A     
3,21,-68.091667,73.60833,1A     
3,22,-67.251663,73.518333,1A     
3,23,-66.421669,73.431664,1A     
3,24,-66.138336,73.308334,1A     
3,25,-65.126663,72.846664,1A     
3,26,-65.014999,72.794998,1A     
3,27,-64.973335,72.761665,1A     
3,28,-64.904999,72.728333,1A     
3,29,-64.646667,72.605003,1A     
3,30,-64.434998,72.508331,1A     
3,31,-64.220001,72.41333,1A     
3,32,-63.683334,72.183334,1A     
3,33,-63.514999,72.106667,1A     
3,34,-63.351665,72.028336,1A     
3,35,-63.064999,71.881668,1A     
3,36,-62.884998,71.78833,1A     
3,37,-62.826668,71.745003,1A     
3,38,-62.558334,71.548332,1A     
3,39,-62.533333,71.529999,1A     
3,40,-62.488335,71.489998,1A     
3,41,-62.424999,71.431664,1A     
3,42,-62.291668,71.315002,1A     
3,43,-62.151669,71.201668,1A     
3,44,-61.711666,70.863335,1A     
3,45,-61.631668,70.803337,1A     
3,46,-61.343334,70.59333,1A     
3,47,-61.290001,70.551666,1A     
3,48,-61.176666,70.223335,1A     
3,49,-61.146667,70.146667,1A     
3,50,-61.134998,70.125,1A     
3,51,-61.07,70.026665,1A     
3,52,-61,69.93,1A     
3,53,-61,69.93,1A     
3,54,-60.993332,69.921669,1A     
3,55,-60.970001,69.830002,1A     
3,56,-60.860001,69.489998,1A     
3,57,-60.458332,69.213333,1A     
3,58,-60.396667,69.171669,1A     
3,59,-60.308334,69.113335,1A     
3,60,-60.150002,69.013336,1A     
3,61,-60.040001,68.946663,1A     
3,62,-59.751851,68.833333,1A     
3,63,-44,68.833333,1A     
3,64,-44,78.166667,1A     
4,1,-44,68.833333,1B     
4,2,-59.751851,68.833333,1B     
4,3,-59.243332,68.633331,1B     
4,4,-59.238335,68.631668,1B     
4,5,-59.076668,68.566666,1B     
4,6,-59.029999,68.548332,1B     
4,7,-58.706665,68.421669,1B     
4,8,-58.650002,68.361664,1B     
4,9,-58.568333,68.268333,1B     
4,10,-58.453335,68.125,1B     
4,11,-58.445,68.113335,1B     
4,12,-58.416668,68.071663,1B     
4,13,-58.388332,68.029999,1B     
4,14,-58.330002,67.948334,1B     
4,15,-58.165001,67.736664,1B     
4,16,-58.103333,67.661667,1B     
4,17,-58.036667,67.588333,1B     
4,18,-57.963333,67.511665,1B     
4,19,-57.935001,67.485001,1B     
4,20,-57.921665,67.471664,1B     
4,21,-57.915001,67.455002,1B     
4,22,-57.878334,67.360001,1B     
4,23,-57.716667,66.824997,1B     
4,24,-57.676666,66.696663,1B     
4,25,-57.66,66.631668,1B     
4,26,-57.653332,66.601669,1B     
4,27,-57.638332,66.504997,1B     
4,28,-57.630001,66.410004,1B     
4,29,-57.630001,66.313332,1B     
4,30,-57.634167,66.25,1B     
4,31,-44,66.25,1B     
4,32,-44,68.833333,1B     
5,1,-44,66.25,1C     
5,2,-57.634167,66.25,1C     
5,3,-57.636665,66.214996,1C     
5,4,-57.66,66.058334,1C     
5,5,-57.668335,65.959999,1C     
5,6,-57.676666,65.861664,1C     
5,7,-57.678333,65.848335,1C     
5,8,-57.698334,65.628334,1C     
5,9,-57.705002,65.580002,1C     
5,10,-57.748333,65.388336,1C     
5,11,-57.763332,65.301666,1C     
5,12,-57.740002,65.193336,1C     
5,13,-57.731667,65.148331,1C     
5,14,-57.735001,65.099998,1C     
5,15,-57.799777,64.25,1C     
5,16,-44,64.25,1C     
5,17,-44,66.25,1C     
6,1,-44,64.25,1D     
6,2,-57.799777,64.25,1D     
6,3,-57.803333,64.203331,1D     
6,4,-57.803333,64.203331,1D     
6,5,-57.818333,64.071663,1D     
6,6,-57.891666,63.956665,1D     
6,7,-57.943333,63.876667,1D     
6,8,-57.953335,63.834999,1D     
6,9,-57.98,63.735001,1D     
6,10,-58.02,63.619999,1D     
6,11,-58.033333,63.583332,1D     
6,12,-57.994999,63.476665,1D     
6,13,-57.956665,63.380001,1D     
6,14,-57.683334,62.786667,1D     
6,15,-57.558067,62.5,1D     
6,16,-44,62.5,1D     
6,17,-44,64.25,1D     
7,1,-44,62.5,1E     
7,2,-57.558067,62.5,1E     
7,3,-57.423332,62.191666,1E     
7,4,-57.369999,62.058334,1E     
7,5,-57.363335,62.038334,1E     
7,6,-57.351665,62.008335,1E     
7,7,-57.216667,61,1E     
7,8,-57.216667,60.75,1E     
7,9,-44,60.75,1E     
7,10,-44,62.5,1E     
8,1,-44,60.75,1F     
8,2,-57.21667,60.75,1F     
8,3,-57.21667,60.2,1F     
8,4,-52.08333,57.666667,1F     
8,5,-47.58333,55.333333,1F     
8,6,-42,52.25,1F     
8,7,-42,59,1F     
8,8,-44,59,1F     
8,9,-44,60.75,1F     
9,1,-61.66667,57.666667,2G     
9,2,-52.08333,57.666667,2G     
9,3,-57.21667,60.2,2G     
9,4,-59,61,2G     
9,5,-64.5,61,2G     
9,6,-64.5,60.433333,2G     
9,7,-64.5,57.666667,2G     
9,8,-61.66667,57.666667,2G     
10,1,-60,55.333333,2H     
10,2,-47.58333,55.333333,2H     
10,3,-52.08333,57.666667,2H     
10,4,-61.66667,57.666667,2H     
10,5,-64.5,57.666667,2H     
10,6,-64.5,55.333333,2H     
10,7,-60,55.333333,2H     
11,1,-55.68333,52.25,2J     
11,2,-42,52.25,2J     
11,3,-47.58333,55.333333,2J     
11,4,-60,55.333333,2J     
11,5,-64.5,55.333333,2J     
11,6,-64.5,52.25,2J     
11,7,-55.68333,52.25,2J     
12,1,-53.46667,49.25,3K     
12,2,-42,49.25,3K     
12,3,-42,52.25,3K     
12,4,-55.416667,52.25,3K     
12,5,-55.433333,51.633333,3K     
12,6,-56.102285,51.341848,3K     
12,7,-56.993856,50.177702,3K     
12,8,-56.993856,49.165326,3K     
12,9,-54.839225,48.984481,3K     
12,10,-53.799058,49.225461,3K     
12,11,-53.466667,49.25,3K     
13,1,-54.166667,46.833333,3L     
13,2,-54.5,46,3L     
13,3,-46.5,46,3L     
13,4,-46.5,49.25,3L     
13,5,-53.466667,49.25,3L     
13,6,-54.244844,49.105118,3L     
13,7,-54.393439,48.25451,3L     
13,8,-53.799058,47.947236,3L     
13,9,-54.166667,46.833333,3L     
14,1,-46.5,49.25,3M     
14,2,-46.5,39,3M     
14,3,-42,39,3M     
14,4,-42,49.25,3M     
14,5,-46.5,49.25,3M     
15,1,-51,39.89965,3N     
15,2,-50.856948,39.771253,3N     
15,3,-50.685558,39.617003,3N     
15,4,-50.514169,39.462752,3N     
15,5,-50.342779,39.308501,3N     
15,6,-50.17139,39.154251,3N     
15,7,-50,39,3N     
15,8,-46.5,39,3N     
15,9,-46.5,46,3N     
15,10,-51,46,3N     
15,11,-51,39.89965,3N     
16,1,-54.5,43.05023,3O     
16,2,-54.456129,43.010516,3O     
16,3,-54.28474,42.856266,3O     
16,4,-54.11335,42.702015,3O     
16,5,-53.94196,42.547764,3O     
16,6,-53.770571,42.393514,3O     
16,7,-53.599181,42.239263,3O     
16,8,-53.427792,42.085013,3O     
16,9,-53.256402,41.930762,3O     
16,10,-53.085013,41.776511,3O     
16,11,-52.913623,41.622261,3O     
16,12,-52.742233,41.46801,3O     
16,13,-52.570844,41.313759,3O     
16,14,-52.399454,41.159509,3O     
16,15,-52.228065,41.005258,3O     
16,16,-52.056675,40.851008,3O     
16,17,-51.885285,40.696757,3O     
16,18,-51.713896,40.542506,3O     
16,19,-51.542506,40.388256,3O     
16,20,-51.371117,40.234005,3O     
16,21,-51.199727,40.079754,3O     
16,22,-51.028338,39.925504,3O     
16,23,-51,39.899649,3O     
16,24,-51,46,3O     
16,25,-54.5,46,3O     
16,26,-54.5,43.05023,3O     
17,1,-59.3,47.616667,3Pn    
17,2,-59.57857,47.4677,3Pn    
17,3,-59.530457,47.426393,3Pn    
17,4,-59.362662,47.280971,3Pn    
17,5,-59.194867,47.135549,3Pn    
17,6,-59.027072,46.990127,3Pn    
17,7,-58.859278,46.844705,3Pn    
17,8,-58.84952,46.836615,3Pn    
17,9,-57.72,47.511667,3Pn    
17,10,-57.488536,47.65,3Pn    
17,11,-57.288665,48.071845,3Pn    
17,12,-59.3,47.616667,3Pn    
18,1,-57.488536,47.65,3Ps    
18,2,-57.72,47.511667,3Ps    
18,3,-58.84952,46.836615,3Ps    
18,4,-58.691483,46.699283,3Ps    
18,5,-58.523688,46.553861,3Ps    
18,6,-58.355894,46.408439,3Ps    
18,7,-58.188099,46.263017,3Ps    
18,8,-58.020304,46.117595,3Ps    
18,9,-57.85251,45.972173,3Ps    
18,10,-57.684715,45.826751,3Ps    
18,11,-57.51692,45.681329,3Ps    
18,12,-57.50092,45.666667,3Ps    
18,13,-57.349126,45.535907,3Ps    
18,14,-57.181331,45.390485,3Ps    
18,15,-57.013536,45.245063,3Ps    
18,16,-56.845742,45.099641,3Ps    
18,17,-56.677947,44.954219,3Ps    
18,18,-56.510152,44.808798,3Ps    
18,19,-56.342357,44.663376,3Ps    
18,20,-56.174563,44.517954,3Ps    
18,21,-56.006768,44.372532,3Ps    
18,22,-55.838973,44.22711,3Ps    
18,23,-55.671179,44.081688,3Ps    
18,24,-55.503384,43.936266,3Ps    
18,25,-55.335589,43.790844,3Ps    
18,26,-55.167795,43.645422,3Ps    
18,27,-55,43.5,3Ps    
18,28,-54.970298,43.473268,3Ps    
18,29,-54.798908,43.319018,3Ps    
18,30,-54.627519,43.164767,3Ps    
18,31,-54.5,43.05023,3Ps    
18,32,-54.5,46,3Ps    
18,33,-54.166667,46.833333,3Ps    
18,34,-53.573346,47.266169,3Ps    
18,35,-53.796265,48.010311,3Ps    
18,36,-55.579618,48.317244,3Ps    
18,37,-57.288665,48.071845,3Ps    
18,38,-57.488536,47.65,3Ps    
19,1,-57.1075,51.416667,4R     
19,2,-60,49.416667,4R     
19,3,-60,47.833333,4R     
19,4,-59.866046,47.717237,4R     
19,5,-59.698251,47.571815,4R     
19,6,-59.57857,47.4677,4R     
19,7,-59.3,47.616667,4R     
19,8,-57.825125,48.232038,4R     
19,9,-57.005339,50.043475,4R     
19,10,-56.185553,51.272245,4R     
19,11,-55.738396,51.445164,4R     
19,12,-55.433333,51.633333,4R     
19,13,-55.416667,52.25,4R     
19,14,-55.683333,52.25,4R     
19,15,-57.1075,51.416667,4R     
20,1,-67.383333,49.333333,4S     
20,2,-64.666667,49.416667,4S     
20,3,-60,47.833333,4S     
20,4,-60,49.416667,4S     
20,5,-57.1075,51.416667,4S     
20,6,-57.64729,52.545215,4S     
20,7,-67.164694,51.295737,4S     
20,8,-67.383333,49.333333,4S     
21,1,-67.38333,49.333333,4T     
21,2,-64.66667,49.416667,4T     
21,3,-60,47.833333,4T     
21,4,-60.40917,47.035833,4T     
21,5,-60.68293,46.145712,4T     
21,6,-61.11908,46.125,4T     
21,7,-61.40417,45.641667,4T     
21,8,-63.16667,45.636111,4T     
21,9,-64.32911,46.017856,4T     
21,10,-72.66323,46.527503,4T     
21,11,-68.79382,50.376006,4T     
21,12,-67.38333,49.333333,4T     
22,1,-60,44.166667,4Vs    
22,2,-59,44.166667,4Vs    
22,3,-59,39,4Vs    
22,4,-50,39,4Vs    
22,5,-50.17139,39.154251,4Vs    
22,6,-50.342779,39.308501,4Vs    
22,7,-50.514169,39.462752,4Vs    
22,8,-50.685558,39.617003,4Vs    
22,9,-50.856948,39.771253,4Vs    
22,10,-51,39.899649,4Vs    
22,11,-51.028338,39.925504,4Vs    
22,12,-51.199727,40.079754,4Vs    
22,13,-51.371117,40.234005,4Vs    
22,14,-51.542506,40.388256,4Vs    
22,15,-51.713896,40.542506,4Vs    
22,16,-51.885285,40.696757,4Vs    
22,17,-52.056675,40.851008,4Vs    
22,18,-52.228065,41.005258,4Vs    
22,19,-52.399454,41.159509,4Vs    
22,20,-52.570844,41.313759,4Vs    
22,21,-52.742233,41.46801,4Vs    
22,22,-52.913623,41.622261,4Vs    
22,23,-53.085013,41.776511,4Vs    
22,24,-53.256402,41.930762,4Vs    
22,25,-53.427792,42.085013,4Vs    
22,26,-53.599181,42.239263,4Vs    
22,27,-53.770571,42.393514,4Vs    
22,28,-53.94196,42.547764,4Vs    
22,29,-54.11335,42.702015,4Vs    
22,30,-54.28474,42.856266,4Vs    
22,31,-54.456129,43.010516,4Vs    
22,32,-54.5,43.05023,4Vs    
22,33,-54.627519,43.164767,4Vs    
22,34,-54.798908,43.319018,4Vs    
22,35,-54.970298,43.473268,4Vs    
22,36,-55,43.5,4Vs    
22,37,-55.167795,43.645422,4Vs    
22,38,-55.335589,43.790844,4Vs    
22,39,-55.503384,43.936266,4Vs    
22,40,-55.671179,44.081688,4Vs    
22,41,-55.838973,44.22711,4Vs    
22,42,-56.006768,44.372532,4Vs    
22,43,-56.174563,44.517954,4Vs    
22,44,-56.342357,44.663376,4Vs    
22,45,-56.510152,44.808798,4Vs    
22,46,-56.677947,44.954219,4Vs    
22,47,-56.845742,45.099641,4Vs    
22,48,-57.013536,45.245063,4Vs    
22,49,-57.181331,45.390485,4Vs    
22,50,-57.349126,45.535907,4Vs    
22,51,-57.50092,45.666667,4Vs    
22,52,-60,45.666667,4Vs    
22,53,-60,44.166667,4Vs    
23,1,-60.25,45.7,4Vn    
23,2,-60,45.666667,4Vn    
23,3,-57.50092,45.666667,4Vn    
23,4,-57.51692,45.681329,4Vn    
23,5,-57.684715,45.826751,4Vn    
23,6,-57.85251,45.972173,4Vn    
23,7,-58.020304,46.117595,4Vn    
23,8,-58.188099,46.263017,4Vn    
23,9,-58.355894,46.408439,4Vn    
23,10,-58.523688,46.553861,4Vn    
23,11,-58.691483,46.699283,4Vn    
23,12,-58.84952,46.836615,4Vn    
23,13,-58.859278,46.844705,4Vn    
23,14,-59.027072,46.990127,4Vn    
23,15,-59.194867,47.135549,4Vn    
23,16,-59.362662,47.280971,4Vn    
23,17,-59.530457,47.426393,4Vn    
23,18,-59.57857,47.4677,4Vn    
23,19,-59.698251,47.571815,4Vn    
23,20,-59.866046,47.717237,4Vn    
23,21,-60,47.833333,4Vn    
23,22,-60.40917,47.035833,4Vn    
23,23,-60.68293,46.145712,4Vn    
23,24,-61.11908,46.125,4Vn    
23,25,-61.40417,45.641667,4Vn    
23,26,-60.25,45.7,4Vn    
24,1,-60.25,45.7,4W     
24,2,-60,45.666667,4W     
24,3,-60,44.166667,4W     
24,4,-59,44.166667,4W     
24,5,-59,39,4W     
24,6,-63.33333,39,4W     
24,7,-63.33333,44.333333,4W     
24,8,-63.5,44.5,4W     
24,9,-63.8969,44.781185,4W     
24,10,-63.16667,45.636111,4W     
24,11,-61.40417,45.641667,4W     
24,12,-62.46881,45.309349,4W     
24,13,-61.35264,45.503467,4W     
24,14,-60.68293,46.145712,4W     
24,15,-60.25,45.7,4W     
25,1,-66.9,44.783333,4X     
25,2,-66.9,43.833333,4X     
25,3,-67.66667,43.833333,4X     
25,4,-67.66667,42.333333,4X     
25,5,-66,42.333333,4X     
25,6,-65.66667,42,4X     
25,7,-65.66667,39,4X     
25,8,-63.33333,39,4X     
25,9,-63.33333,44.333333,4X     
25,10,-63.5,44.5,4X     
25,11,-63.8969,44.781185,4X     
25,12,-63,45,4X     
25,13,-63.16667,45.636111,4X     
25,14,-64.32911,46.017856,4X     
25,15,-68.54611,45.349518,4X     
25,16,-66.9,44.783333,4X     
26,1,-71.666667,41.333333,5Y     
26,2,-70,41.333333,5Y     
26,3,-70,42.333333,5Y     
26,4,-67.666667,42.333333,5Y     
26,5,-67.666667,43.833333,5Y     
26,6,-66.9,43.833333,5Y     
26,7,-66.9,44.783333,5Y     
26,8,-68.417113,45.379462,5Y     
26,9,-72.511857,42.45778,5Y     
26,10,-71.666667,41.333333,5Y     
27,1,-71.666667,41.333333,5Zw    
27,2,-71.666667,39,5Zw    
27,3,-70,39,5Zw    
27,4,-70,41.333333,5Zw    
27,5,-71.666667,41.333333,5Zw    
28,1,-70,42.333333,5Ze    
28,2,-70,39,5Ze    
28,3,-65.666667,39,5Ze    
28,4,-65.666667,42,5Ze    
28,5,-66,42.333333,5Ze    
28,6,-70,42.333333,5Ze    
29,1,-71.666667,41.3,6A     
29,2,-71.666667,39,6A     
29,3,-74.675244,39,6A     
29,4,-74.898251,41.141424,6A     
29,5,-71.850488,41.831124,6A     
29,6,-71.666667,41.3,6A     
30,1,-74.675244,39,6B     
30,2,-70,39,6B     
30,3,-70,37,6B     
30,4,-76,37,6B     
30,5,-76,36.9,6B     
30,6,-76.234352,36.410695,6B     
30,7,-77.27665,37.149244,6B     
30,8,-76.681051,39.819404,6B     
30,9,-75.266503,40.243037,6B     
30,10,-74.745354,39.535522,6B     
30,11,-74.675244,39,6B     
31,1,-76,36.9,6C     
31,2,-76,37,6C     
31,3,-70,37,6C     
31,4,-70,35,6C     
31,5,-76.344101,35,6C     
31,6,-77.397855,34.801293,6C     
31,7,-76.79571,36.393074,6C     
31,8,-76.118297,36.468081,6C     
31,9,-76,36.9,6C     
32,1,-65,39,6D     
32,2,-65,35,6D     
32,3,-70,35,6D     
32,4,-70,39,6D     
32,5,-65,39,6D     
33,1,-60,39,6E     
33,2,-60,35,6E     
33,3,-65,35,6E     
33,4,-65,39,6E     
33,5,-60,39,6E     
34,1,-55,39,6F     
34,2,-55,35,6F     
34,3,-60,35,6F     
34,4,-60,39,6F     
34,5,-55,39,6F     
35,1,-50,39,6G     
35,2,-50,35,6G     
35,3,-55,35,6G     
35,4,-55,39,6G     
35,5,-50,39,6G     
36,1,-42,39,6H     
36,2,-42,35,6H     
36,3,-50,35,6H     
36,4,-50,39,6H     
36,5,-42,39,6H     
