vesel,cruno,year,series
ATC,175,1970,SUMMER
ATC,176,1970,SUMMER
ATC,188,1971,SUMMER
ATC,189,1971,SUMMER
ATC,200,1972,SUMMER
ATC,201,1972,SUMMER
ATC,212,1973,SUMMER
ATC,213,1973,SUMMER
ATC,225,1974,SUMMER
ATC,226,1974,SUMMER
ATC,236,1975,SUMMER
ATC,237,1975,SUMMER
ATC,250,1976,SUMMER
ATC,251,1976,SUMMER
ATC,265,1977,SUMMER
ATC,266,1977,SUMMER
ATC,279,1978,SUMMER
ATC,280,1978,SUMMER
ATC,292,1979,SUMMER
ATC,293,1979,SUMMER
ATC,306,1980,SUMMER
ATC,307,1980,SUMMER
ATC,321,1981,SUMMER
ATC,322,1981,SUMMER
HAM,80,1982,SUMMER
HAM,81,1982,SUMMER
HAM,231,1991,SUMMER
NED,12,1983,SUMMER
NED,13,1983,SUMMER
NED,31,1984,SUMMER
NED,32,1984,SUMMER
NED,48,1985,SUMMER
NED,49,1985,SUMMER
NED,65,1986,SUMMER
NED,66,1986,SUMMER
NED,85,1987,SUMMER
NED,86,1987,SUMMER
NED,87,1987,SUMMER
NED,105,1988,SUMMER
NED,106,1988,SUMMER
NED,123,1989,SUMMER
NED,124,1989,SUMMER
NED,139,1990,SUMMER
NED,140,1990,SUMMER
NED,154,1991,SUMMER
NED,173,1992,SUMMER
NED,174,1992,SUMMER
NED,189,1993,SUMMER
NED,190,1993,SUMMER
NED,221,1994,SUMMER
NED,222,1994,SUMMER
NED,226,1995,SUMMER
NED,227,1995,SUMMER
NED,246,1996,SUMMER
NED,247,1996,SUMMER
NED,726,1997,SUMMER
NED,734,1997,SUMMER
NED,827,1998,SUMMER
NED,832,1998,SUMMER
NED,925,1999,SUMMER
NED,929,1999,SUMMER
NED,426,2000,SUMMER
NED,431,2000,SUMMER
NED,32,2001,SUMMER
NED,37,2001,SUMMER
NED,37,2002,SUMMER
NED,40,2002,SUMMER
NED,36,2003,SUMMER
NED,42,2003,SUMMER
TEL,529,2004,SUMMER
TEL,530,2004,SUMMER
NED,27,2005,SUMMER
NED,34,2005,SUMMER
NED,30,2006,SUMMER
NED,36,2006,SUMMER
TEL,745,2007,SUMMER
TEM,830,2008,SUMMER
NED,27,2009,SUMMER
NED,27,2010,SUMMER
NED,25,2011,SUMMER
NED,22,2012,SUMMER
NED,22,2013,SUMMER
HAM,13,1979,SPRING
HAM,14,1979,SPRING
HAM,33,1980,SPRING
HAM,34,1980,SPRING
HAM,48,1981,SPRING
HAM,49,1981,SPRING
HAM,71,1982,SPRING
HAM,72,1982,SPRING
HAM,94,1983,SPRING
HAM,95,1983,SPRING
NED,24,1984,SPRING
NED,25,1984,SPRING
HAM,9,1978,FALL
HAM,10,1978,FALL
HAM,26,1979,FALL
HAM,27,1979,FALL
HAM,42,1980,FALL
HAM,43,1980,FALL
HAM,64,1981,FALL
HAM,65,1981,FALL
HAM,84,1982,FALL
HAM,85,1982,FALL
NED,17,1983,FALL
NED,18,1983,FALL
NED,36,1984,FALL
NED,37,1984,FALL
NED,60,1986,4VWCOD
NED,78,1987,4VWCOD
NED,98,1988,4VWCOD
NED,117,1989,4VWCOD
NED,134,1990,4VWCOD
NED,149,1991,4VWCOD
NED,166,1992,4VWCOD
NED,182,1993,4VWCOD
NED,201,1994,4VWCOD
NED,217,1995,4VWCOD
NED,238,1996,4VWCOD
NED,255,1997,4VWCOD
NED,872,1999,4VWCOD
NED,966,2000,4VWCOD
NED,4,2001,4VWCOD
NED,3,2002,4VWCOD
NED,3,2003,4VWCOD
NED,2,2005,4VWCOD
TEL,615,2006,4VWCOD
TEM,686,2007,4VWCOD
TEM,687,2007,4VWCOD
TEL,805,2008,4VWCOD
NED,2,2009,4VWCOD
NED,2,2010,4VWCOD
NED,2,2011,4VWCOD
NED,59,1986,GEORGES
NED,77,1987,GEORGES
NED,97,1988,GEORGES
NED,116,1989,GEORGES
NED,133,1990,GEORGES
NED,148,1991,GEORGES
NED,165,1992,GEORGES
TEM,134,1993,GEORGES
NED,200,1994,GEORGES
NED,216,1995,GEORGES
NED,237,1996,GEORGES
NED,254,1997,GEORGES
NED,773,1998,GEORGES
NED,871,1999,GEORGES
NED,965,2000,GEORGES
NED,3,2001,GEORGES
NED,2,2002,GEORGES
NED,2,2003,GEORGES
TEM,4,2004,GEORGES
NED,1,2005,GEORGES
TEL,614,2006,GEORGES
TEM,685,2007,GEORGES
TEM,775,2008,GEORGES
NED,841,2009,GEORGES
NED,1,2010,GEORGES
NED,2,2011,GEORGES
NED,2,2012,GEORGES
NED,2,2013,GEORGES
HAM,141,1985,GULF
HAM,159,1986,GULF
HAM,179,1987,GULF
HAM,192,1988,GULF
HAM,204,1989,GULF
HAM,219,1990,GULF
HAM,232,1991,GULF
NED,178,1992,GULF
NED,192,1993,GULF
NED,210,1994,GULF
NED,230,1995,GULF
NED,249,1996,GULF
NED,746,1997,GULF
NED,846,1998,GULF
NED,941,1999,GULF
NED,45,2000,GULF
NED,150,2001,GULF
NED,251,2002,GULF
TEM,352,2003,GULF
PRI,91,1971,GULF
PRI,106,1972,GULF
PRI,122,1973,GULF
PRI,143,1974,GULF
PRI,157,1975,GULF
PRI,172,1976,GULF
PRI,188,1977,GULF
PRI,204,1978,GULF
PRI,229,1979,GULF
PRI,244,1980,GULF
PRI,260,1981,GULF
PRI,278,1982,GULF
PRI,296,1983,GULF
PRI,312,1984,GULF
PRI,327,1985,GULF